id;pos_x;pos_y;pos_z;degree;isAtSampleBorder
140;-314;-198;53;1;0
141;-170;-292;54;1;0
142;-199;-32;55;1;0
143;-9;-292;55;1;0
144;-121;-292;55;1;0
145;-154;-209;56;1;0
146;-167;-88;57;1;0
147;-229;-199;57;1;0
148;-16;-251;57;1;0
149;-55;-27;58;1;0
150;-86;-71;58;1;0
151;-315;-152;58;1;0
152;-291;-178;60;1;0
153;-8;-180;60;1;0
154;-276;-186;60;1;0
155;-162;-53;61;1;0
156;-55;-54;61;1;0
157;-181;-60;61;1;0
158;-204;-202;61;1;0
159;-314;-69;62;1;0
160;-49;-166;62;1;0
161;-121;-185;62;1;0
162;-226;-286;62;1;0
163;-309;-51;63;1;0
164;-123;-199;63;1;0
165;-235;-295;63;1;0
166;-207;-170;64;1;0
167;-119;-131;65;1;0
168;-59;-293;65;1;0
169;-8;-38;66;1;0
170;-67;-191;66;1;0
171;-315;-136;67;1;0
172;-9;-262;67;1;0
173;-94;-293;67;1;0
174;-223;-60;68;1;0
175;-309;-123;69;1;0
176;-143;-174;70;1;0
177;-10;-248;70;1;0
178;-47;-66;71;1;0
179;-199;-90;71;1;0
180;-9;-100;71;1;0
181;-91;-29;72;1;0
182;-189;-83;72;1;0
183;-60;-184;72;1;0
184;-245;-294;72;1;0
185;-310;-60;73;1;0
186;-149;-74;73;1;0
187;-200;-114;73;1;0
188;-104;-151;73;1;0
189;-128;-202;73;1;0
190;-9;-193;74;1;0
191;-23;-102;77;1;0
192;-173;-135;77;1;0
193;-9;-160;77;1;0
194;-313;-212;77;1;0
195;-48;-89;78;1;0
196;-297;-247;78;1;0
197;-309;-252;78;1;0
198;-163;-140;79;1;0
199;-205;-291;79;1;0
200;-77;-50;80;1;0
201;-194;-262;80;1;0
202;-122;-50;81;1;0
203;-237;-98;83;1;0
204;-152;-292;83;1;0
205;-65;-293;83;1;0
206;-208;-30;84;1;0
207;-263;-100;84;1;0
208;-99;-124;84;1;0
209;-140;-134;84;1;0
210;-68;-32;85;1;0
211;-7;-63;85;1;0
212;-247;-89;85;1;0
213;-155;-255;86;1;0
214;-61;-257;86;1;0
215;-164;-213;87;1;0
216;-45;-291;87;1;0
217;-65;-193;88;1;0
218;-238;-258;88;1;0
219;-233;-35;89;1;0
220;-6;-217;89;1;0
221;-99;-36;90;1;0
222;-214;-86;90;1;0
223;-311;-287;90;1;0
224;-313;-192;92;1;0
225;-136;-217;92;1;0
226;-313;-241;92;1;0
227;-233;-281;92;1;0
228;-119;-272;93;1;0
229;-184;-291;94;1;0
230;-248;-102;95;1;0
231;-161;-115;95;1;0
232;-315;-211;95;1;0
233;-134;-292;95;1;0
234;-234;-44;96;1;0
235;-314;-47;96;1;0
236;-11;-79;96;1;0
237;-12;-145;97;1;0
238;-241;-35;98;1;0
239;-314;-123;98;1;0
240;-29;-127;101;1;0
241;-39;-158;101;1;0
242;-302;-294;101;1;0
243;-13;-75;102;1;0
244;-100;-91;102;1;0
245;-126;-178;102;1;0
246;-198;-291;102;1;0
247;-156;-292;102;1;0
248;-258;-222;103;1;0
249;-104;-261;103;1;0
250;-48;-263;103;1;0
251;-302;-40;104;1;0
252;-174;-221;104;1;0
253;-266;-273;104;1;0
254;-242;-155;105;1;0
255;-124;-218;105;1;0
256;-154;-242;105;1;0
257;-225;-293;105;1;0
258;-245;-139;106;1;0
259;-127;-290;106;1;0
260;-64;-105;107;1;0
261;-159;-259;107;1;0
262;-51;-290;107;1;0
263;-197;-122;108;1;0
264;-311;-125;108;1;0
265;-87;-160;108;1;0
266;-242;-293;108;1;0
267;-8;-257;109;1;0
268;-10;-293;109;1;0
269;-146;-28;110;1;0
270;-312;-204;110;1;0
271;-240;-253;110;1;0
272;-90;-289;110;1;0
273;-234;-82;111;1;0
274;-20;-281;111;1;0
275;-90;-88;113;1;0
276;-267;-97;113;1;0
277;-312;-105;113;1;0
278;-248;-207;113;1;0
279;-130;-235;113;1;0
280;-121;-33;114;1;0
281;-314;-214;114;1;0
282;-314;-27;115;1;0
283;-97;-147;115;1;0
284;-17;-178;115;1;0
285;-310;-273;115;1;0
286;-260;-290;115;1;0
287;-90;-293;115;1;0
288;-59;-106;116;1;0
289;-238;-141;116;1;0
290;-126;-170;116;1;0
291;-46;-174;116;1;0
292;-7;-135;117;1;0
293;-96;-137;118;1;0
294;-149;-292;118;1;0
295;-143;-149;119;1;0
296;-139;-131;120;1;0
297;-61;-144;121;1;0
298;-214;-231;121;1;0
299;-147;-74;122;1;0
300;-124;-208;123;1;0
301;-134;-234;123;1;0
302;-84;-86;124;1;0
303;-77;-183;124;1;0
304;-188;-293;125;1;0
305;-13;-150;126;1;0
306;-228;-195;126;1;0
307;-8;-294;126;1;0
308;-6;-29;127;1;0
309;-217;-87;127;1;0
310;-131;-192;127;1;0
311;-174;-293;127;1;0
312;-72;-58;128;1;0
313;-196;-116;128;1;0
314;-313;-223;128;1;0
315;-59;-292;128;1;0
316;-73;-294;128;1;0
317;-80;-198;129;1;0
318;-80;-263;129;1;0
319;-129;-124;130;1;0
320;-157;-214;130;1;0
321;-194;-294;130;1;0
322;-276;-135;131;1;0
323;-134;-148;131;1;0
324;-165;-175;131;1;0
325;-20;-292;131;1;0
326;-93;-293;132;1;0
327;-222;-292;133;1;0
328;-173;-119;134;1;0
329;-253;-60;135;1;0
330;-267;-70;135;1;0
331;-68;-147;136;1;0
332;-308;-154;136;1;0
333;-118;-179;136;1;0
334;-195;-245;136;1;0
335;-257;-251;136;1;0
336;-8;-59;137;1;0
337;-210;-95;138;1;0
338;-226;-278;138;1;0
339;-105;-295;138;1;0
340;-105;-29;139;1;0
341;-43;-39;139;1;0
342;-248;-149;139;1;0
343;-258;-210;139;1;0
344;-260;-214;140;1;0
345;-134;-30;141;1;0
346;-276;-97;141;1;0
347;-145;-138;141;1;0
348;-120;-204;141;1;0
349;-122;-289;141;1;0
350;-40;-87;143;1;0
351;-271;-205;143;1;0
352;-6;-212;143;1;0
353;-11;-292;143;1;0
354;-295;-232;144;1;0
355;-314;-232;144;1;0
356;-314;-270;144;1;0
357;-163;-33;145;1;0
358;-310;-78;146;1;0
359;-47;-133;146;1;0
360;-213;-167;146;1;0
361;-28;-249;146;1;0
362;-157;-287;146;1;0
363;-147;-95;147;1;0
364;-108;-108;147;1;0
365;-52;-211;147;1;0
366;-228;-39;148;1;0
367;-248;-56;148;1;0
368;-189;-75;148;1;0
369;-192;-126;148;1;0
370;-230;-180;148;1;0
371;-291;-294;148;1;0
372;-198;-164;149;1;0
373;-6;-179;149;1;0
374;-134;-262;149;1;0
375;-50;-190;150;1;0
376;-131;-73;151;1;0
377;-124;-192;151;1;0
378;-224;-237;152;1;0
379;-301;-33;153;1;0
380;-315;-38;153;1;0
381;-219;-33;155;1;0
382;-228;-113;155;1;0
383;-39;-137;155;1;0
384;-315;-186;155;1;0
385;-151;-293;155;1;0
386;-153;-49;156;1;0
387;-105;-292;156;1;0
388;-242;-293;156;1;0
389;-85;-33;157;1;0
390;-49;-98;157;1;0
391;-171;-291;157;1;0
392;-14;-77;158;1;0
393;-197;-159;158;1;0
394;-93;-250;158;1;0
395;-133;-37;159;1;0
396;-159;-74;159;1;0
397;-234;-83;159;1;0
398;-13;-280;159;1;0
399;-50;-294;159;1;0
400;-60;-30;160;1;0
401;-291;-235;160;1;0
402;-130;-286;160;1;0
403;-55;-194;162;1;0
404;-181;-229;162;1;0
405;-307;-130;163;1;0
406;-182;-256;163;1;0
407;-237;-293;164;1;0
408;-36;-111;165;1;0
409;-177;-144;165;1;0
410;-10;-155;165;1;0
411;-8;-254;165;1;0
412;-132;-122;166;1;0
413;-184;-156;166;1;0
414;-312;-50;167;1;0
415;-314;-110;167;1;0
416;-7;-29;168;1;0
417;-200;-226;168;1;0
418;-209;-289;168;1;0
419;-110;-121;169;1;0
420;-310;-271;169;1;0
421;-196;-36;170;1;0
422;-60;-48;171;1;0
423;-307;-140;171;1;0
424;-70;-165;171;1;0
425;-312;-177;171;1;0
426;-312;-203;171;1;0
427;-195;-280;171;1;0
428;-125;-32;172;1;0
429;-61;-85;172;1;0
430;-99;-293;172;1;0
431;-7;-52;173;1;0
432;-155;-57;173;1;0
433;-179;-273;173;1;0
434;-108;-284;173;1;0
435;-117;-93;174;1;0
436;-175;-294;174;1;0
437;-219;-169;175;1;0
438;-34;-187;175;1;0
439;-288;-75;176;1;0
440;-49;-223;177;1;0
441;-125;-81;178;1;0
442;-166;-62;179;1;0
443;-202;-63;179;1;0
444;-212;-131;179;1;0
445;-261;-152;180;1;0
446;-41;-182;180;1;0
447;-92;-239;180;1;0
448;-143;-253;180;1;0
449;-233;-28;181;1;0
450;-313;-105;181;1;0
451;-315;-59;182;1;0
452;-284;-109;182;1;0
453;-314;-188;182;1;0
454;-10;-171;183;1;0
455;-311;-215;183;1;0
456;-158;-30;184;1;0
457;-36;-35;184;1;0
458;-65;-108;184;1;0
459;-103;-29;185;1;0
460;-211;-113;185;1;0
461;-209;-130;185;1;0
462;-94;-239;185;1;0
463;-11;-210;186;1;0
464;-112;-236;186;1;0
465;-288;-291;186;1;0
466;-186;-146;187;1;0
467;-220;-119;188;1;0
468;-254;-231;189;1;0
469;-254;-249;189;1;0
470;-312;-270;189;1;0
471;-91;-288;189;1;0
472;-79;-111;190;1;0
473;-182;-119;190;1;0
474;-313;-275;190;1;0
475;-262;-292;190;1;0
476;-230;-109;191;1;0
477;-313;-124;191;1;0
478;-256;-261;193;1;0
479;-17;-37;195;1;0
480;-300;-38;195;1;0
481;-124;-268;195;1;0
482;-264;-28;196;1;0
483;-39;-33;196;1;0
484;-210;-221;196;1;0
485;-202;-69;197;1;0
486;-253;-78;197;1;0
487;-270;-196;197;1;0
488;-86;-118;198;1;0
489;-7;-261;198;1;0
490;-23;-287;198;1;0
491;-242;-291;198;1;0
492;-123;-293;198;1;0
493;-154;-127;199;1;0
494;-40;-150;199;1;0
495;-75;-175;199;1;0
496;-248;-30;201;1;0
497;-280;-120;201;1;0
498;-236;-72;202;1;0
499;-82;-231;202;1;0
500;-182;-144;203;1;0
501;-58;-183;204;1;0
502;-146;-206;204;1;0
503;-213;-29;205;1;0
504;-86;-37;205;1;0
505;-190;-150;205;1;0
506;-181;-29;206;1;0
507;-166;-30;206;1;0
508;-313;-42;206;1;0
509;-33;-76;206;1;0
510;-297;-290;206;1;0
511;-158;-292;206;1;0
512;-191;-78;208;1;0
513;-13;-28;209;1;0
514;-281;-127;209;1;0
515;-38;-208;209;1;0
516;-170;-228;209;1;0
517;-273;-293;209;1;0
518;-91;-126;210;1;0
519;-268;-237;210;1;0
520;-261;-44;212;1;0
521;-188;-196;213;1;0
522;-148;-275;213;1;0
523;-60;-291;213;1;0
524;-313;-53;214;1;0
525;-23;-192;214;1;0
526;-200;-219;214;1;0
527;-233;-293;214;1;0
528;-180;-72;215;1;0
529;-76;-141;215;1;0
530;-217;-184;215;1;0
531;-59;-216;215;1;0
532;-231;-96;216;1;0
533;-293;-124;216;1;0
534;-48;-71;217;1;0
535;-32;-213;217;1;0
536;-116;-64;218;1;0
537;-121;-144;218;1;0
538;-117;-175;218;1;0
539;-167;-28;219;1;0
540;-99;-110;220;1;0
541;-156;-171;220;1;0
542;-313;-268;221;1;0
543;-142;-55;222;1;0
544;-78;-65;222;1;0
545;-178;-80;222;1;0
546;-54;-29;223;1;0
547;-243;-62;223;1;0
548;-258;-107;223;1;0
549;-197;-223;223;1;0
550;-315;-225;223;1;0
551;-7;-226;223;1;0
552;-54;-284;223;1;0
553;-270;-284;223;1;0
554;-223;-88;224;1;0
555;-32;-69;225;1;0
556;-87;-143;225;1;0
557;-12;-200;225;1;0
558;-147;-247;225;1;0
559;-248;-266;225;1;0
560;-28;-293;225;1;0
561;-162;-293;225;1;0
562;-125;-175;227;1;0
563;-117;-186;227;1;0
564;-255;-293;227;1;0
565;-315;-156;228;1;0
566;-263;-207;228;1;0
567;-183;-238;228;1;0
568;-180;-292;228;1;0
569;-125;-293;228;1;0
570;-112;-37;229;1;0
571;-315;-114;229;1;0
572;-202;-128;229;1;0
573;-179;-77;230;1;0
574;-103;-294;230;1;0
575;-247;-86;232;1;0
576;-298;-136;232;1;0
577;-9;-174;232;1;0
578;-218;-228;232;1;0
579;-93;-289;232;1;0
580;-20;-113;233;1;0
581;-138;-115;233;1;0
582;-225;-134;233;1;0
583;-69;-142;233;1;0
584;-221;-148;233;1;0
585;-269;-127;235;1;0
586;-166;-192;235;1;0
587;-314;-280;235;1;0
588;-81;-293;236;1;0
589;-87;-28;238;1;0
590;-180;-150;238;1;0
591;-150;-211;238;1;0
592;-204;-31;239;1;0
593;-153;-51;239;1;0
594;-83;-113;239;1;0
595;-199;-66;240;1;0
596;-11;-207;240;1;0
597;-16;-248;241;1;0
598;-112;-290;241;1;0
599;-229;-33;242;1;0
600;-217;-155;242;1;0
601;-6;-284;242;1;0
602;-281;-293;242;1;0
603;-107;-28;243;1;0
604;-239;-59;243;1;0
605;-183;-189;243;1;0
606;-248;-293;243;1;0
607;-120;-87;244;1;0
608;-14;-95;244;1;0
609;-60;-215;244;1;0
610;-23;-104;245;1;0
611;-262;-142;245;1;0
612;-175;-265;245;1;0
613;-7;-102;247;1;0
614;-77;-219;247;1;0
615;-233;-153;248;1;0
616;-274;-154;248;1;0
617;-314;-36;249;1;0
618;-313;-75;249;1;0
619;-143;-221;249;1;0
620;-151;-226;249;1;0
621;-220;-293;249;1;0
622;-287;-174;250;1;0
623;-314;-46;251;1;0
624;-48;-102;251;1;0
625;-130;-170;251;1;0
626;-154;-291;251;1;0
627;-257;-30;253;1;0
628;-311;-193;253;1;0
629;-313;-218;253;1;0
630;-28;-294;253;1;0
631;-285;-204;254;1;0
632;-89;-74;257;1;0
633;-163;-205;257;1;0
634;-120;-290;257;1;0
635;-172;-211;258;1;0
636;-313;-278;258;1;0
637;-185;-201;259;1;0
638;-198;-165;260;1;0
639;-194;-220;260;1;0
640;-138;-294;260;1;0
641;-182;-158;261;1;0
642;-58;-251;262;1;0
643;-281;-293;262;1;0
644;-8;-33;263;1;0
645;-7;-102;263;1;0
646;-18;-115;263;1;0
647;-310;-219;263;1;0
648;-133;-54;264;1;0
649;-181;-140;264;1;0
650;-15;-212;265;1;0
651;-241;-225;265;1;0
652;-186;-242;265;1;0
653;-146;-69;267;1;0
654;-244;-80;267;1;0
655;-114;-117;267;1;0
656;-315;-205;267;1;0
657;-204;-124;268;1;0
658;-82;-219;268;1;0
659;-312;-148;269;1;0
660;-75;-177;269;1;0
661;-229;-197;269;1;0
662;-65;-284;269;1;0
663;-235;-138;270;1;0
664;-61;-182;270;1;0
665;-41;-30;271;1;0
666;-313;-139;271;1;0
667;-116;-220;271;1;0
668;-9;-291;271;1;0
669;-36;-213;272;1;0
670;-82;-248;272;1;0
671;-93;-274;272;1;0
672;-124;-293;272;1;0
673;-157;-142;273;1;0
674;-307;-292;273;1;0
675;-45;-294;273;1;0
676;-103;-208;274;1;0
677;-292;-290;274;1;0
678;-87;-291;274;1;0
679;-169;-28;275;1;0
680;-259;-28;275;1;0
681;-144;-30;275;1;0
682;-315;-93;275;1;0
683;-8;-130;275;1;0
684;-136;-215;275;1;0
685;-146;-216;276;1;0
686;-10;-221;276;1;0
687;-110;-291;276;1;0
688;-315;-236;277;1;0
689;-249;-288;277;1;0
690;-173;-218;278;1;0
691;-20;-57;280;1;0
692;-313;-80;281;1;0
693;-39;-174;281;1;0
694;-238;-250;281;1;0
695;-171;-294;281;1;0
696;-56;-28;282;1;0
697;-215;-47;282;1;0
698;-314;-264;282;1;0
699;-217;-34;283;1;0
700;-311;-129;283;1;0
701;-93;-206;283;1;0
702;-174;-257;283;1;0
703;-20;-40;284;1;0
704;-111;-127;284;1;0
705;-288;-257;284;1;0
706;-202;-252;285;1;0
707;-277;-288;285;1;0
708;-57;-142;286;1;0
709;-257;-181;286;1;0
710;-207;-190;286;1;0
711;-284;-29;287;1;0
712;-301;-143;287;1;0
713;-89;-170;287;1;0
714;-118;-170;287;1;0
715;-242;-198;288;1;0
716;-105;-28;289;1;0
717;-9;-69;289;1;0
718;-230;-187;289;1;0
719;-83;-290;289;1;0
720;-260;-28;290;1;0
721;-313;-290;290;1;0
722;-311;-29;292;1;0
723;-142;-122;292;1;0
724;-312;-208;292;1;0
725;-53;-209;292;1;0
726;-69;-234;293;1;0
727;-206;-182;296;1;0
728;-241;-240;296;1;0
729;-118;-261;296;1;0
730;-310;-274;296;1;0
731;-206;-293;296;1;0
732;-312;-220;297;1;0
733;-186;-178;298;1;0
734;-288;-291;298;1;0
735;-10;-68;299;1;0
736;-16;-96;299;1;0
737;-314;-140;299;1;0
738;-314;-30;300;1;0
739;-289;-174;300;1;0
740;-218;-116;301;1;0
741;-207;-143;301;1;0
742;-313;-169;301;1;0
743;-66;-292;301;1;0
744;-223;-28;302;1;0
745;-170;-199;302;1;0
746;-177;-250;302;1;0
747;-46;-290;302;1;0
748;-142;-290;302;1;0
749;-161;-291;302;1;0
750;-37;-292;302;1;0
751;-126;-171;303;1;0
752;-23;-174;303;1;0
753;-30;-119;304;1;0
754;-9;-180;304;1;0
755;-312;-40;305;1;0
756;-204;-94;305;1;0
757;-174;-179;305;1;0
758;-269;-185;305;1;0
759;-260;-288;305;1;0
760;-114;-294;305;1;0
761;-46;-48;306;1;0
762;-315;-88;306;1;0
763;-177;-241;306;1;0
764;-163;-186;308;1;0
765;-280;-271;308;1;0
766;-193;-79;309;1;0
767;-147;-196;309;1;0
768;-205;-291;309;1;0
769;-84;-28;310;1;0
770;-37;-60;310;1;0
771;-68;-41;311;1;0
772;-220;-209;311;1;0
773;-266;-46;312;1;0
774;-183;-144;312;1;0
775;-274;-190;312;1;0
776;-257;-32;313;1;0
777;-75;-131;313;1;0
778;-249;-86;314;1;0
779;-196;-37;315;1;0
780;-105;-58;315;1;0
781;-313;-158;315;1;0
782;-209;-179;315;1;0
783;-108;-46;316;1;0
784;-140;-133;316;1;0
785;-315;-276;316;1;0
786;-219;-28;318;1;0
787;-164;-135;318;1;0
788;-20;-142;318;1;0
789;-80;-29;319;1;0
790;-56;-33;319;1;0
791;-221;-178;319;1;0
792;-37;-209;319;1;0
793;-11;-38;320;1;0
794;-92;-116;320;1;0
795;-35;-117;320;1;0
796;-314;-168;320;1;0
797;-294;-180;320;1;0
798;-151;-229;320;1;0
799;-270;-28;321;1;0
800;-263;-148;321;1;0
801;-313;-244;321;1;0
802;-82;-47;322;1;0
803;-218;-84;322;1;0
804;-105;-293;322;1;0
805;-258;-82;323;1;0
806;-63;-179;323;1;0
807;-209;-277;323;1;0
808;-203;-294;323;1;0
809;-98;-73;324;1;0
810;-245;-122;324;1;0
811;-233;-78;326;1;0
812;-25;-292;326;1;0
813;-10;-65;327;1;0
814;-128;-159;327;1;0
815;-161;-94;328;1;0
816;-55;-192;328;1;0
817;-42;-286;328;1;0
818;-114;-36;329;1;0
819;-226;-290;329;1;0
820;-303;-70;330;1;0
821;-89;-234;330;1;0
822;-127;-256;330;1;0
823;-309;-77;331;1;0
824;-12;-171;331;1;0
825;-113;-219;331;1;0
826;-262;-244;331;1;0
827;-122;-29;333;1;0
828;-312;-52;333;1;0
829;-105;-129;333;1;0
830;-314;-146;333;1;0
831;-84;-237;333;1;0
832;-269;-131;334;1;0
833;-96;-209;334;1;0
834;-147;-289;334;1;0
835;-150;-111;335;1;0
836;-48;-131;335;1;0
837;-32;-279;335;1;0
838;-246;-41;337;1;0
839;-315;-200;337;1;0
840;-196;-224;337;1;0
841;-52;-289;337;1;0
842;-315;-33;339;1;0
843;-168;-105;339;1;0
844;-58;-127;339;1;0
845;-184;-294;339;1;0
846;-311;-81;341;1;0
847;-169;-130;341;1;0
848;-312;-191;341;1;0
849;-69;-212;341;1;0
850;-13;-222;341;1;0
851;-83;-259;341;1;0
852;-11;-289;341;1;0
853;-231;-97;342;1;0
854;-134;-193;342;1;0
855;-132;-211;343;1;0
856;-253;-32;344;1;0
857;-52;-143;345;1;0
858;-214;-201;345;1;0
859;-314;-228;345;1;0
860;-70;-243;345;1;0
861;-248;-291;345;1;0
862;-230;-211;346;1;0
863;-160;-60;347;1;0
864;-31;-86;347;1;0
865;-196;-91;347;1;0
866;-62;-96;347;1;0
867;-314;-286;347;1;0
868;-75;-289;347;1;0
869;-156;-92;348;1;0
870;-246;-209;348;1;0
871;-35;-294;349;1;0
872;-285;-74;350;1;0
873;-288;-93;350;1;0
874;-229;-142;350;1;0
875;-298;-50;351;1;0
876;-297;-29;352;1;0
877;-8;-30;352;1;0
878;-227;-140;352;1;0
879;-189;-232;352;1;0
880;-314;-97;353;1;0
881;-164;-154;353;1;0
882;-93;-104;354;1;0
883;-36;-136;354;1;0
884;-104;-281;355;1;0
885;-8;-138;356;1;0
886;-177;-208;356;1;0
887;-186;-295;356;1;0
888;-32;-234;357;1;0
889;-81;-92;358;1;0
890;-227;-166;358;1;0
891;-313;-44;359;1;0
892;-205;-258;359;1;0
893;-206;-272;359;1;0
894;-80;-150;360;1;0
895;-77;-164;360;1;0
896;-311;-238;360;1;0
897;-311;-34;361;1;0
898;-58;-268;361;1;0
899;-300;-34;362;1;0
900;-225;-66;362;1;0
901;-159;-77;362;1;0
902;-214;-230;362;1;0
903;-303;-293;362;1;0
904;-28;-96;363;1;0
905;-7;-279;363;1;0
906;-314;-85;364;1;0
907;-39;-34;365;1;0
908;-177;-197;365;1;0
909;-113;-294;365;1;0
910;-164;-157;366;1;0
911;-25;-179;366;1;0
912;-209;-279;366;1;0
913;-160;-112;367;1;0
914;-294;-112;367;1;0
915;-171;-156;367;1;0
916;-198;-246;368;1;0
917;-7;-108;369;1;0
918;-9;-193;369;1;0
919;-127;-29;370;1;0
920;-105;-87;370;1;0
921;-117;-158;370;1;0
922;-216;-169;370;1;0
923;-40;-293;370;1;0
924;-313;-175;371;1;0
925;-70;-172;372;1;0
926;-161;-230;372;1;0
927;-51;-257;372;1;0
928;-11;-178;373;1;0
929;-314;-197;374;1;0
930;-12;-218;374;1;0
931;-243;-30;375;1;0
932;-244;-284;375;1;0
933;-153;-294;375;1;0
934;-84;-90;376;1;0
935;-124;-124;376;1;0
936;-186;-288;377;1;0
937;-72;-293;377;1;0
938;-209;-174;378;1;0
939;-24;-200;378;1;0
940;-280;-245;378;1;0
941;-200;-252;378;1;0
942;-178;-291;378;1;0
943;-307;-117;379;1;0
944;-240;-56;380;1;0
945;-213;-291;380;1;0
946;-311;-62;381;1;0
947;-111;-189;381;1;0
948;-250;-237;381;1;0
949;-26;-288;381;1;0
950;-126;-90;382;1;0
951;-308;-228;382;1;0
952;-36;-293;382;1;0
953;-176;-33;383;1;0
954;-171;-126;383;1;0
955;-314;-147;383;1;0
956;-275;-284;383;1;0
957;-259;-291;383;1;0
958;-8;-30;384;1;0
959;-120;-65;384;1;0
960;-86;-103;384;1;0
961;-10;-67;385;1;0
962;-224;-103;385;1;0
963;-209;-105;385;1;0
964;-268;-166;385;1;0
965;-88;-211;385;1;0
966;-267;-31;386;1;0
967;-33;-112;386;1;0
968;-151;-295;386;1;0
969;-114;-33;387;1;0
970;-117;-182;387;1;0
971;-172;-291;388;1;0
972;-71;-47;389;1;0
973;-225;-71;389;1;0
974;-240;-100;389;1;0
975;-21;-113;389;1;0
976;-243;-163;389;1;0
977;-259;-170;390;1;0
978;-195;-53;391;1;0
979;-113;-291;391;1;0
980;-315;-95;392;1;0
981;-116;-181;392;1;0
982;-252;-289;392;1;0
983;-54;-79;393;1;0
984;-86;-252;393;1;0
985;-164;-293;393;1;0
986;-101;-33;394;1;0
987;-77;-46;394;1;0
988;-179;-120;394;1;0
989;-182;-215;394;1;0
990;-235;-295;394;1;0
991;-311;-177;395;1;0
992;-76;-35;396;1;0
993;-56;-280;396;1;0
994;-228;-62;397;1;0
